# T,P_vap,P_err
2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,1.489600000000000104e-04,1.489600000000000104e-04
5.000000000000000000e-01,6.040730000000000231e-03,1.674369999999999895e-03
5.999999999999999778e-01,5.291698000000000235e-02,7.502649999999999597e-03
6.999999999999999556e-01,9.381936000000000442e-02,1.262208000000000080e-02
7.500000000000000000e-01,1.121120200000000067e-01,1.160032000000000077e-02
8.000000000000000444e-01,1.048637999999999931e-01,1.405228000000000033e-02
8.499999999999999778e-01,1.678231799999999885e-01,2.255818000000000059e-02
9.000000000000000222e-01,1.493355899999999903e-01,1.852532000000000137e-02
9.499999999999999556e-01,2.143013400000000068e-01,2.288495999999999933e-02
1.000000000000000000e+00,2.209779099999999996e-01,2.474847000000000158e-02
1.500000000000000000e+00,5.245168599999999737e-01,5.405321999999999905e-02
2.000000000000000000e+00,8.887329600000000163e-01,7.146347999999999590e-02
2.500000000000000000e+00,9.884985099999999969e-01,8.444148999999999405e-02
